gene,source,marker_group
CLDN18-1,panel_100g,panel_100g
CLDN18-2,panel_100g,panel_100g
Epstein-Barr-EBNA-1,panel_100g,panel_100g
ANXA13,panel_100g,panel_100g
BTNL3,panel_100g,panel_100g
CDH17,panel_100g,panel_100g
SLC6A19,panel_100g,panel_100g
SLC7A9,panel_100g,panel_100g
TM4SF20,panel_100g,panel_100g
VNN1,panel_100g,panel_100g
ADGRG7,panel_100g,panel_100g
ADH6,panel_100g,panel_100g
CLDN3,panel_100g,panel_100g
HKDC1,panel_100g,panel_100g
OLFM4,panel_100g,panel_100g
ONECUT2,panel_100g,panel_100g
SLC39A5,panel_100g,panel_100g
KRT7,panel_100g,panel_100g
KRT17,panel_100g,panel_100g
CLDN4,panel_100g,panel_100g
IL32,panel_100g,panel_100g
MUC13,panel_100g,panel_100g
REG4,panel_100g,panel_100g
SPINK1,panel_100g,panel_100g
SPINK4,panel_100g,panel_100g
VIM,panel_100g,panel_100g
PGA5,panel_100g,panel_100g
MUC2,panel_100g,panel_100g
TFF3,panel_100g,panel_100g
MUCL3,panel_100g,panel_100g
MUC6,panel_100g,panel_100g
GOLM1,panel_100g,panel_100g
REG3A,panel_100g,panel_100g
LEFTY1,panel_100g,panel_100g
TFF1,panel_100g,panel_100g
TFF2,panel_100g,panel_100g
CHGA,panel_100g,panel_100g
ITLN1,panel_100g,panel_100g
COL16A1,panel_100g,panel_100g
LYPD2,panel_100g,panel_100g
WFDC2,panel_100g,panel_100g
LAMA5,panel_100g,panel_100g
COL9A3,panel_100g,panel_100g
CEACAM5,panel_100g,panel_100g
KRT19,panel_100g,panel_100g
PTPRC,panel_100g,panel_100g
S100A8,panel_100g,panel_100g
S100A9,panel_100g,panel_100g
C1QA,panel_100g,panel_100g
C1QC,panel_100g,panel_100g
SPP1,panel_100g,panel_100g
APOE,panel_100g,panel_100g
MMP7,panel_100g,panel_100g
LCN2,panel_100g,panel_100g
TM4SF1,panel_100g,panel_100g
S100A14,panel_100g,panel_100g
LAYN,panel_100g,panel_100g
SDC1,panel_100g,panel_100g
GNLY,panel_100g,panel_100g
NKG7,panel_100g,panel_100g
CORO1A,panel_100g,panel_100g
DMBT1,panel_100g,panel_100g
ACTA2,panel_100g,panel_100g
MDK,panel_100g,panel_100g
JPT1,panel_100g,panel_100g
FERMT1,panel_100g,panel_100g
MMP2,panel_100g,panel_100g
SPARC,panel_100g,panel_100g
LUM,panel_100g,panel_100g
CEACAM6,panel_100g,panel_100g
S100A10,panel_100g,panel_100g
KRT18,panel_100g,panel_100g
CD9,panel_100g,panel_100g
ISG15,panel_100g,panel_100g
IFITM3,panel_100g,panel_100g
MIF,panel_100g,panel_100g
RACK1,panel_100g,panel_100g
SELENOW,panel_100g,panel_100g
IGHG1,panel_100g,panel_100g
ALB,panel_100g,panel_100g
DEFB1,panel_100g,panel_100g
DCN,panel_100g,panel_100g
COL1A2,panel_100g,panel_100g
COL3A1,panel_100g,panel_100g
COL6A2,panel_100g,panel_100g
FABP1,panel_100g,panel_100g
KRT8,panel_100g,panel_100g
ELF3,panel_100g,panel_100g
NOTUM,panel_100g,panel_100g
CHP2,panel_100g,panel_100g
EFNA2,panel_100g,panel_100g
FLVCR2,panel_100g,panel_100g
MEP1A,panel_100g,panel_100g
MYO7B,panel_100g,panel_100g
PRAP1,panel_100g,panel_100g
RNF186,panel_100g,panel_100g
ATP4B,panel_100g,panel_100g
S100A4,panel_100g,panel_100g
CD24,panel_100g,panel_100g
PMEPA1,panel_100g,panel_100g
CD3E,canonical_marker,t_cell
KLRD1,canonical_marker,nk
FCGR3A,canonical_marker,myeloid
FCER1A,canonical_marker,dendritic_cell
CLEC10A,canonical_marker,dendritic_cell
CD14,canonical_marker,monocyte_macrophage
MS4A1,canonical_marker,b_cell
CD79A,canonical_marker,b_cell
RGS5,canonical_marker,pericyte
PDGFRB,canonical_marker,pericyte
PECAM1,canonical_marker,endothelial
KDR,canonical_marker,endothelial
PLVAP,canonical_marker,endothelial
MCAM,canonical_marker,pericyte_endothelial
CSPG4,canonical_marker,pericyte
KIT,canonical_marker,mast_cell
EPCAM,canonical_marker,epithelial
